Name,Genres
The Tale of The Princess Kaguya,"Animation, Drama, Fantasy"
The Wind Rises,"Drama, Animation, Romance"
From Up on Poppy Hill,"Animation, Drama"
The Secret World of Arrietty,"Fantasy, Animation, Family"
Ponyo,"Animation, Fantasy, Family"
Only Yesterday,"Animation, Drama, Romance"
Spirited Away,"Animation, Family, Fantasy"
Whisper of the Heart,"Animation, Drama, Family"
Grave of the Fireflies,"Animation, Drama, War"
My Neighbor Totoro,"Fantasy, Animation, Family"
Princess Mononoke,"Adventure, Fantasy, Animation"
Howl's Moving Castle,"Fantasy, Animation, Adventure"
Castle in the Sky,"Adventure, Fantasy, Animation"
Kiki's Delivery Service,"Animation, Family, Fantasy"
Pom Poko,"Adventure, Animation, Fantasy"
Porco Rosso,"Family, Comedy, Animation"
Nausicaä of the Valley of the Wind,"Adventure, Animation, Fantasy"
